tick,lyapunov_V,fairness_index,share_Kernel_IRQ,share_Edge_AI,share_Network_Stack,share_File_IO,share_Bg_Logger
1,0.21004741060504067,0.7027041095177369,0.42222222222222217,0.25333333333333324,0.16888888888888887,0.10555555555555554,0.05
2,0.18014692187804127,0.7423857823213946,0.3906308191056335,0.2593738939942903,0.1819027466910736,0.11809254020900246,0.05
3,0.14939578909900536,0.7808226056646189,0.3629002527704161,0.26070509789302637,0.19153568239784707,0.12919935731137747,0.05565960962733297
4,0.1233800266594765,0.8141545432434915,0.3398124858304699,0.2595561120839458,0.1987720731031322,0.13919044408114994,0.06266888490130218
5,0.1023018473121466,0.8421982216671788,0.3207290955083382,0.25706516405642554,0.20417672728220254,0.1481787323464233,0.06985028080661046
6,0.08498768975811412,0.865988471895009,0.30478601574900094,0.25379861122815484,0.20808163216536263,0.15617271294819232,0.07716102790928935
7,0.0706232335986496,0.8863104608374218,0.2913345084986102,0.2501337323202378,0.2107800711892663,0.1632026514206536,0.08454903657123213
8,0.05862675329344749,0.9037559586962781,0.2798847945510826,0.24631768853223232,0.2125237794452285,0.1693178559456077,0.09195588152584887
9,0.048569738241960744,0.9187738195665798,0.270063647399473,0.24250976437669375,0.21352418101887832,0.17458251720876583,0.09931988999618913
10,0.04012637548640276,0.9317101793865281,0.2615835242658829,0.2388104830654183,0.21395586186094495,0.17907096156572488,0.1065791692420291
11,0.033040943434227754,0.9428389567387099,0.25422029642039656,0.23528126413084974,0.21396103117053816,0.182863004120875,0.11367440415734059
12,0.027106601312094462,0.9523842311634779,0.24779715345407716,0.23195754714436412,0.2136541833417309,0.18603985379987475,0.12055126225995307
13,0.02215158836377403,0.96053603049007,0.2421728954357312,0.22885750601787774,0.21312651520324574,0.1886808062377574,0.127162277105388
14,0.018030291073993357,0.9674608868031014,0.23723335238594784,0.22598783039292453,0.21244988739847967,0.19086079415408924,0.13346813566855875
15,0.014617491969027903,0.9733083906674582,0.23288505193741282,0.22334757487033316,0.21168026285018054,0.19264875285203,0.13943835749004352
16,0.011804653136183438,0.9782148586594068,0.2290505195627355,0.2209307429657829,0.21086063375364453,0.19410669323455285,0.14505141048328418
17,0.00949745282775541,0.9823050884583293,0.22566477484789954,0.21872804410919267,0.21002348451586517,0.19528934535264575,0.15029435117439677
18,0.007614053757105055,0.9856929975391049,0.22267270942325335,0.21672810824155564,0.2091928494915357,0.19624423108189876,0.15516210176175657
19,0.006083770461254627,0.9884817413860887,0.2200271168229971,0.21491834077749383,0.20838602346623322,0.19701203571831433,0.1596564832149616
20,0.004845937945336533,0.9907637110751681,0.2176872046117039,0.2132855344715502,0.20761497692804023,0.19762716779345696,0.16378511619524874
21,0.003848876178431545,0.9926206407555375,0.21561746277604685,0.21181631242175214,0.2068875210977509,0.19811841897154686,0.1675602847329033
22,0.003048904252979129,0.9941239258529658,0.21378679474315787,0.2104974499246927,0.2062082611326663,0.19850965803542264,0.1709978361640605
23,0.002409392581112158,0.9953351651827381,0.21216784167141947,0.20931610654765337,0.20557937037815308,0.19882051266957254,0.17411616873320154
24,0.0018998588145840364,0.9963068895930667,0.21073644896021684,0.20825998981239383,0.20500121397562485,0.19906700906249766,0.17693533818926682
25,0.0014951193835883968,0.9970834175259389,0.20947123768316667,0.20731746579791016,0.20447284633162963,0.19926215207373105,0.17947629811356255
