tick,lyapunov_V
1,0.21004741060504067
2,0.18014692187804127
3,0.14939578909900536
4,0.1233800266594765
5,0.1023018473121466
6,0.08498768975811412
7,0.0706232335986496
8,0.05862675329344749
9,0.048569738241960744
10,0.04012637548640276
11,0.033040943434227754
12,0.027106601312094462
13,0.02215158836377403
14,0.018030291073993357
15,0.014617491969027903
16,0.011804653136183438
17,0.00949745282775541
18,0.007614053757105055
19,0.006083770461254627
20,0.004845937945336533
21,0.003848876178431545
22,0.003048904252979129
23,0.002409392581112158
24,0.0018998588145840364
25,0.0014951193835883968
26,0.0011745083493284007
27,0.0009211719583322921
28,0.0007214429917181339
29,0.0005642949305471028
30,0.0004408726859458142
31,0.000344094344951933
32,0.0002683170082014366
33,0.00020905918510766373
34,0.00016277217544291393
35,0.00012665322223658244
36,9.84938175460845e-05
37,7.655726256508566e-05
38,5.948034235471553e-05
39,4.619471686068306e-05
40,3.586431935005555e-05
41,2.783567263958805e-05
42,2.1598575391738005e-05
43,1.675507554232741e-05
44,1.2995040250126603e-05
45,1.0076958680923197e-05
46,7.812883470333836e-06
47,6.056636971871025e-06
48,4.694587066401534e-06
49,3.6384413407517403e-06
50,2.8196239133360763e-06
